image_id,hoi_id,verb,object
2017,391,open,microwave
32624,44,tie,boat
12147,454,carry,skateboard
36675,122,run,dog
8295,68,drive,car
14716,460,ride,skateboard
14916,455,flip,skateboard
19486,90,sit_on,chair
24180,42,sit_on,boat
4447,517,carry,surfboard
30091,11,carry,bicycle
30056,145,wash,horse
18583,465,carry,skis
11436,55,board,bus
25541,428,smell,pizza
8984,458,jump,skateboard
4726,590,hold,wine_glass
20802,18,repair,bicycle
9899,312,smell,donut
17514,467,inspect,skis
2984,582,set,umbrella
18748,582,set,umbrella
13789,244,inspect,bench
25054,385,open,laptop
7042,45,wash,boat
17494,539,adjust,tie
29493,592,toast,wine_glass
32250,154,ride,motorcycle
13601,66,board,car
34380,341,throw,frisbee
27267,570,inspect,truck
4536,359,cut,hot_dog
23146,501,throw,sports_ball
1745,135,kiss,horse
34826,3,exit,airplane
20747,340,spin,frisbee
35182,468,jump,skis
36099,43,stand_on,boat
20988,153,race,motorcycle
21571,39,ride,boat
34080,457,hold,skateboard
17027,60,load,bus
28472,579,lose,umbrella
30517,141,run,horse
28533,19,ride,bicycle
36276,47,carry,bottle
35970,1,board,airplane
30739,11,carry,bicycle
10725,475,adjust,snowboard
34836,15,hop_on,bicycle
25481,44,tie,boat
8865,139,race,horse
26225,97,feed,cow
35543,469,pick_up,skis
9029,145,wash,horse
17391,35,inspect,boat
36693,115,groom,dog
2180,14,jump,bicycle
15806,151,park,motorcycle
8469,48,drink_with,bottle
33428,589,fill,wine_glass
6391,217,cut,banana
4373,319,hop_on,elephant
17226,578,hold,umbrella
6860,49,hold,bottle
8575,21,straddle,bicycle
5909,518,drag,surfboard
35545,23,wash,bicycle
26538,176,feed,sheep
4662,459,pick_up,skateboard
7717,380,wash,knife
25029,369,assemble,kite
14560,241,lie_on,bed
32181,259,eat,broccoli
37409,314,feed,elephant
2853,288,talk_on,cell_phone
13429,223,smell,banana
36190,42,sit_on,boat
35773,522,lie_on,surfboard
37990,542,inspect,tie
36598,121,pet,dog
15992,52,open,bottle
1371,572,repair,truck
2394,134,jump,horse
23759,318,kiss,elephant
9566,58,exit,bus
31143,138,pet,horse
31640,473,wear,skis
27559,302,smell,cup
12396,241,lie_on,bed
8684,456,grind,skateboard
4670,561,wash,toothbrush
1494,419,buy,pizza
4136,320,pet,elephant
34701,496,kick,sports_ball
3240,374,launch,kite
27089,56,direct,bus
4793,45,wash,boat
37894,500,spin,sports_ball
24524,13,inspect,bicycle
37020,191,ride,train
1838,497,pick_up,sports_ball
35490,14,jump,bicycle
22870,319,hop_on,elephant
8358,339,hold,frisbee
12574,36,jump,boat
23673,286,read,cell_phone
35509,162,greet,person
27322,338,catch,frisbee
7015,98,herd,cow
26686,104,pet,cow
35444,489,block,sports_ball
11314,349,hold,hair_drier
7434,16,park,bicycle
24210,541,hold,tie
17275,244,inspect,bench
37022,189,exit,train
8075,175,carry,sheep
36377,83,scratch,cat
7396,22,walk,bicycle
17842,157,turn,motorcycle
32127,136,load,horse
30350,317,hug,elephant
25703,120,kiss,dog
34798,164,hug,person
36852,159,wash,motorcycle
31284,477,grind,snowboard
10413,150,hop_on,motorcycle
12721,91,stand_on,chair
26795,334,lick,fork
2664,18,repair,bicycle
29901,74,ride,car
1298,559,brush_with,toothbrush
20946,227,hold,baseball_bat
29737,108,clean,dining_table
17587,36,jump,boat
31046,144,walk,horse
1910,16,park,bicycle
23620,14,jump,bicycle
18558,220,inspect,banana
13984,41,sail,boat
36852,152,push,motorcycle
3754,574,sit_on,truck
9079,61,ride,bus
7492,209,carry,backpack
7565,221,peel,banana
32553,16,park,bicycle
14586,158,walk,motorcycle
18656,216,carry,banana
37848,492,dribble,sports_ball
35967,6,load,airplane
12833,75,wash,car
31566,23,wash,bicycle
16154,13,inspect,bicycle
26984,539,adjust,tie
4689,385,open,laptop
35974,4,fly,airplane
1379,157,turn,motorcycle
21295,464,adjust,skis
36099,38,repair,boat
30208,72,load,car
22118,315,hold,elephant
